symbol
ABB
AEGISLOG
ARE&M
AMBALALSA
ANDHRAPET
ANSALAPI
UTIQUE
ARUNAHTEL
BOMDYEING
ASIANHOTNR
ATUL
ATVPR
BAJAJELEC
BAJAJHIND
FORCEMOT
BAJFINANCE
BALRAMCHIN
BANCOINDIA
ABREL
BANARISUG
BASF
BATAINDIA
BEML
BEL
BEPL
BIHSPONG
BILVYAPAR
BIRLACABLE
BLUESTARCO
DISAQ
QUESTCAP
BPL
OAL
CENTEXT
CESC
CHAMBLFERT
EXIDEIND
CIPLA
DICIND
CRISIL
CGPOWER
DABUR
DALMIASUG
ARVIND
BHEL
HINDPETRO
IFCI
MTNL
MRPL
CHENNPETRO
SBIN
SAIL
TITAN
IDBI
DCW
DHAMPURSUG
DIAMINESQ
ELANTAS
DRREDDY
EIDPARRY
PGHL
ELECTCAST
ESABINDIA
EPL
ESTER
FGP
PHCAP
FINCABLES
COCKERILL
UFLEX
FOSECOIND
GOLDENTOBC
GANESHBE
METROGLOBL
GTL
GODFRYPHLP
GODREJIND
KANSAINER
GOODRICKE
GOODYEAR
GTNINDS
GHCL
GFLLIMITED
GLFL
HCL-INSYS
HDFCBANK
HEROMOTOCO
HFCL
HSCL
HCC
HINDOILEXP
AGI
HINDZINC
NDLVENTURE
HMT
PRAGBOS
HLVLTD
IGPL
INDIAGLYCO
INDLEASE
MARGOFIN
INDORAMA
INFY
INGERRAND
ITHL
IONEXCHANG
SUNDROP
JISLJALEQS
JASCH
JINDALPOLY
JSWSTEEL
KAJARIACER
KAKATCEM
KSL
WHIRLPOOL
KGDENIM
KINETICENG
KIRLOSBROS
KIRLOSIND
KIRLFER
ENVAIREL
KOTAKBANK
KSB
LGBBROSLTD
TRENT
LMW
LICHSGFIN
LUPIN
LYKALABS
RAMCOCEM
HYBRIDFIN
MAFATIND
MAHSEAMLES
MAHSCOOTER
MAJESAUT
MANALIPETC
BARODARY
MFSL
MIDINDIA
MIRCELECTR
CENTENKA
MODTHREAD
LORDSCHLO
SPICEJET
MOREPENLAB
MRF
HEIDELBERG
NCC
VEDL
NAHARSPING
NAPEROL
GRASIM
PEL
NIITLTD
JAYKAY
NIRLON
ONGC
OILCOUNTUB
ORIENTHOT
OSWALAGRO
INDSUCR
PANCM
RELIANCE
PILITA
RAYMOND
PIDILITIND
PIXTRANS
BIRLACORPN
SURYAROSNI
PRIMESECU
PRSMJOHNSN
RAIN
PRUDMOULI
AMJLAND
PUNJCOMMU
RSWM
RAJSREESUG
RALLIS
RAMANEWS
RAMAPPR-B
RAMAPETRO
RAPICUT
WELSPLSOL
ROLTA
RUBFILA
PATANJALI
SALORAINTL
JINDALSAW
JKLAKSHMI
SHREECEM
SKPMIL
SILVERLINE
RELINFRA
TATAPOWER
SPMLINFRA
SUNDRMFAST
SUNFLAG
SPLPETRO
SWARAJENG
TATAELXSI
ACC
THERMAX
TIRUMALCHM
THOMASCOOK
TIMEX
TOKYOPLAST
TORNTPHARM
TPINDIA
TRANSCHEM
AMBUJACEM
UTLINDS
UNIENTER
VHL
HINDALCO
WSTCSTPAPR
HOCL
MPILCORPL
PASUPTAC
KORE
PGHH
MUKANDLTD
BBOX
UCAL
HARRMALAYA
FEDERALBNK
TATASTEEL
SKFINDIA
ASHOKLEY
CUMMINSIND
TATACOMM
ABBOTINDIA
BAJAJHLDNG
BHARATFORG
ESCORTS
HINDMOTORS
LT
M&M
BOSCHLTD
PREMIER
BPCL
SIEMENS
TATAMOTORS
VOLTAS
GESHIP
DEEPAKFERT
EXCELINDUS
GRWRHITECH
GLAXO
GNFC
NOVARTIND
SANOFI
PFIZER
GSFC
HINDUNILVR
AKZOINDIA
NOCIL
TATACHEM
TNPETRO
ZUARIIND
NESTLEIND
TATACONSUM
ASIANPAINT
BRITANNIA
COLPAL
EIHOTEL
INDHOTEL
CASTROLIND
ITC
APOLLOTYRE
CEATLTD
MODIRUBBER
FINPIPE
SUNRINV
ZGOLDINV
PEOPLIN
DSINVEST
CENTRUM
KARTKIN
TCIFINANCE
LORDSMARK
ANTARIKSH
IITL
INDPRUD
TATAINVEST
JAYBHCR
PRISMX
MOTOGENFIN
RAPIDIN
WALCHPF
ZSWASTSA
WHBRADY
TECHNVISN
SHAILY
BBTC
BOMBCYC
GREAVESCOT
MULLER
SFTL
AMALGAM
ANANDPROJ
INDIANVSH
COASTCORP
CHOWGULSTM
GLOBOFFS
DHENUBUILD
ASIIL
SAGCEM
HEMACEM
DECCANCE
MANGLMCEM
NCLIND
SAURASHCEM
SHREDIGCEM
BORORENEW
LERTHAI
RASSIREF
TRIVENIGQ
NILACHAL
ANDHRAPAP
BALKRISIND
ORIENTPPR
CITADEL
ROLLT
SESHAPAPER
NATHIND
VAPIENTER
DCM
ZGAEKWAR
FORBESCO
HPCOTTON
UNITEDINT
JAMSHRI
KATRSPG
KESORAMIND
LAKSHMIMIL
VTL
PENINLAND
PASUSPG
PHOENIXLTD
MARATHON
RAJABAH
RELCHEMQ
RUBYMILLS
SIMPLXREA
SWANENERGY
VICTMILL
ZSVTRADI
ZSVARAJT
KSHITIJ
SALSAIN
INDSOYA
ZODIACVEN
VEERENRGY
SW1
TILAK
UNIJOLL
WAGEND
ELCIDIN
MEDIAONE
HEALINV
SHRENTI
BANSWRAS
MODWOOL
MODIPON
SHRIDINE
SRF
SIYSIL
SWADPOL
SHRAJSYNQ
SHRMFGC
ZSATYASL
BBL
ELPROINTL
GEE
HIRECT
NIPPOBATRY
ZENSARTECH
JYOTI
JSLINDL
KAYCEEI
INDOKEM
PANAENERG
NELCO
PERMAGN
HIGHENE
STDBAT
UNIVCABLES
WSI
DLTNCBL
LAKSELEC
MODULEX
DELTAMAGNT
LONGSPUR
RELTD
RRP
EMPOWER
ZMULTIPU
RIDHISYN
GRANDMA
ZARDIINV
SOFTBPO
NYSSACORP
FLOMIC
KRISHNA
GANHOLD
SJCORP
UNIABEXAL
SARDAEN
BGWTATO
BOMBWIR
CHASBRT
AZADIND
INDIANHUME
INLCM
INVPRECQ
INFORTEC
KAIRA
ORIENTCER
NATIONSTD
RATHIST
DUNCANENG
SANDUMA
STOVACQ
CHOLAHLDNG
ZWELCAST
WMINIMT
AUTOAXLES
ATLASCYCLE
AUTOPRD
ACGL
SETCO
INRADIA
TALBROAUTO
ZFSTEERING
SMLISUZU
TIL
EICHERMOT
JAINEX
ALFREDHE
VELJAN
DYNAMATECH
GGDPROP
GMMPFAUDLR
KIRLPNU
TULIVE
KPT
LAKSHMIEW
LYNMC
MANUGRAPH
HARSHILAGR
MONOT
NESCO
INTEGRAEN
SEMAC
TEXINFRA
WENDT
PSITINFRA
GHVINFRA
RESPONIND
SHYMINV
ZHEMHOLD
MAHACORP
DOLATALGO
WESTLIFE
ZEEL
ZKOVALIN
SVPGLOB
MULTIIN
SKYLMILAR
BIMETAL
TAPARIA
BHARATGEAR
BRADYM
LATIMMETAL
ELECON
DECANBRG
GRAUWEIL
HIMTEK
GABRIEL
HERCULES
AQFINTECH
IFBIND
SINGER
INTLCOMBQ
FMGOETZE
JOSTS
SCHAEFFLER
MPCOSEMB
RANEHOLDIN
ROLCOEN
SNL
JAIPAN
MANCREDIT
TRF
WPIL
KENNAMET
HINDHARD
TRITONV
SUDAI
PRAKASH
HVL
ZPRBHSTE
ARSHIYA
GRINDWELL
LAKPRE
STANROS
GENESYS
ALNATRD
VOLKAI
PARNAXLAB
GOURMET
VIVIDHA
ISHWATR
TERRAFORM
APIS
VELOX
EMERGENT
KANANIIND
GCKL
ZSARVAMA
ARIHANTSUP
BLISSGVS
STYRENIX
ALEMBICLTD
AMNPLST
ANUHPHR
MODISONLTD
BAYERCROP
SASHWAT
CHEMOPH
HEUBACHIND
COROMANDEL
DEEPAKNTR
DMCC
FERMENTA
GOCLCORP
JAYCH
KANORICHEM
KELENRG
KEMP
NITTAGELA
MPAGI
OCCL
PCBL
AMAL
POLYCHEM
PUNJABCHEM
ZR2
SADHNANIQ
SUDARSCHEM
TECILCHEM
ULTRAMAR
TRANSPEK
UNICHEMLAB
MYSORPETRO
ALKYLAMINE
TUTIALKA
ASTRAZEN
PRIMO
TANFACIND
GUJPETR
SWADEIN
MASCH
GUJTHEM
MAKERSL
CONTCHM
JBCHEPHARM
IGLFXPL-B
ADVPETR-B
RAJSPTR
APTPACK
BLUECHIPT
JAGAJITIND
KESARENT
TI
EMERALL
RAVALSUGAR
SAKHTISUG
WALCHANNAG
IFBAGRO
KFBL
CAPRO
GMBREW
RANASUG
PICCASUG
SDBL
CJGEL
ASALCBR
THAKKERS
CORAGRO
FOODSIN
IVP
KLRFM
OLYOI
MLKFOOD
POLSON
SIGNGCL
WIPRO
ORIBEVER
DHANUKA
TTKHLTCARE
TGVSL
LIMECHM
KANPRPLA
TAINWALCHM
JAGSNPHARM
KHAICHEM
UNTTEMI
NOL
GILLETTE
WIREFABR
ANSALHSG
COMPUPN
MCCHRLS-B
ADDIND
PIONRINV
ASHNOOR
UNITECH
VIPIND
FIBERWEB
LKPFIN
EASTBUILD
MNPLFIN
BAJAJST
KIDUJA
KEYCORP
SHIKHARLETR
GUJHOTE
FYNX
RASRESOR
JOLYPLS
PARMCOS-B
JINDHOT
SERIND
JPTRLES
SIMMOND
BNALTD
HAWKINCOOK
WARRENTEA
COCHMAL
BESTEAST
NEAGI
ISTLTD
COSMOFIRST
DIAMANT
NEWMKTADV
APOLLOHOSP
NITINCAST
NEXOME
EVERESTIND
IRONWOOD
MSRINDIA
AIRLTD
AYMSYNTEX
PANCARBON
FINKURVE
HBLEAS
SHRICON
TRUSTWAVE
SULABEN
FRONTCAP
NAVNETEDUL
KEDIACN
TRANOCE
AUSOMENT
THAKRAL
RUCHINFRA
GOLDLEG
